id,TtlPrc,UntPrc,Year,Elvt,RmNum,HllNum,KchNum,BthNum,Lat,Lng,TspNum,TspDst,AtrNum,AtrDst,EdcNum,EdcDst,HthNum,HthDst,RstNum,RstDst,RtlNum,RtlDst,TrfV,AgrPct,DstPct,HppPct,SadPct,FeaPct
101087602731,24660,82533,2010,1,4,1,1,3,40.0066941375769,116.486687126331,39,366,6,481,83,390,25,416,100,150,55,279,0,13,7,33,20,24
101088604521,12000,67659,1999,1,3,2,0,2,39.9792261075789,116.314550970593,44,395,27,470,100,140,40,492,100,208,52,397,23.57046296,11,10,35,19,23
101089774839,16500,67205,2007,1,4,2,1,2,39.9738449907671,116.463587357346,30,417,12,524,74,589,11,735,100,238,38,446,41.0962963,16,10,33,21,18
101089814532,4430,74996,1985,0,2,1,1,1,39.9629950745238,116.449454509893,50,343,28,565,85,417,21,695,100,187,41,357,36.39662037,12,10,33,22,21
101090871638,5500,32682,2003,1,3,2,1,2,39.9431119173107,116.109599046235,48,397,10,642,73,436,20,535,88,180,32,478,0,11,11,32,24,19
101091120971,6100,43807,2004,1,3,1,1,2,40.0760666206339,116.567175875839,42,399,4,755,4,479,4,178,55,342,8,680,0,11,6,31,29,20
101091196260,5020,47906,2005,0,2,2,1,1,39.9548457575969,116.561069614491,21,473,5,558,28,349,4,317,76,169,10,457,0,7,5,46,22,17
101091399833,6900,51455,1999,0,3,1,1,1,39.9356212912644,116.269873922122,31,308,2,445,22,462,17,395,80,88,17,406,0,15,7,34,25,17
101091517618,6700,50517,2000,1,2,1,1,1,39.8987551074992,116.269157214461,33,363,6,447,66,453,15,557,100,161,36,371,0,13,7,33,29,17
101091533314,8000,60607,1998,1,4,1,1,1,39.9911616675577,116.475653885634,51,277,13,648,100,278,38,468,100,86,48,299,0,13,8,36,22,19
101091608369,5200,87351,2006,1,1,0,1,1,39.9708916086854,116.439224178254,52,428,16,704,100,546,30,533,100,238,39,474,28.66726852,11,8,40,21,17
101091681477,6500,63558,1998,1,2,1,1,1,40.0054183184536,116.419673836219,53,404,13,582,81,426,25,430,100,97,57,464,35.99291667,15,8,31,25,19
101091744580,15200,74477,2012,1,3,1,1,3,39.8904404699335,116.657502890648,51,426,11,734,59,582,13,631,100,150,35,408,0,13,7,35,24,19
101091817728,13700,111148,2004,1,2,2,1,3,39.9009832618805,116.423654224341,53,240,36,406,87,366,48,473,100,125,58,310,26.56787037,13,9,29,30,16
101091973704,4300,40191,2003,1,2,1,1,1,39.9431119173107,116.109599046235,48,397,10,642,73,436,20,535,88,180,32,478,0,11,11,32,24,19
101092029534,8900,132638,1963,0,2,1,1,1,39.9675170962203,116.380306561126,45,473,11,545,100,293,32,577,100,213,26,514,0,15,7,35,22,19
